type,area_in_marla,bedroom,bath,location_city,price
House,23.140495867768596,5.0,5.0,Karachi,128000000.0
House,8.462809917355372,11.0,7.0,Karachi,65000000.0
Flat,4.595041322314049,1.0,2.0,Karachi,54000000.0
Upper Portion,2.3140495867768593,2.0,2.0,Karachi,6800000.0
Flat,5.520661157024794,3.0,3.0,Karachi,16500000.0
Flat,4.958677685950414,3.0,3.0,Karachi,14000000.0
House,33.05785123966942,6.0,6.0,Karachi,398500000.0
House,16.52892561983471,6.0,6.0,Karachi,140000000.0
House,3.9669421487603307,2.0,2.0,Karachi,20900000.0
House,7.933884297520661,3.0,3.0,Karachi,51500000.0
Other,8.264462809917354,3.0,4.0,Karachi,27000000.0
Flat,1.8512396694214877,2.0,2.0,Karachi,8500000.0
Flat,11.768595041322314,3.0,4.0,Karachi,65000000.0
Flat,6.24793388429752,3.0,3.0,Karachi,26000000.0
Flat,3.3057851239669422,1.0,2.0,Karachi,29900000.000000004
House,16.52892561983471,6.0,6.0,Karachi,105000000.0
Flat,3.8016528925619837,2.0,2.0,Karachi,13500000.0
Upper Portion,2.5785123966942147,2.0,2.0,Karachi,5500000.0
House,16.52892561983471,5.0,6.0,Karachi,102500000.0
Flat,12.859504132231406,5.0,6.0,Karachi,45000000.0
House,11.570247933884298,5.0,5.0,Karachi,160000000.0
Flat,5.1570247933884295,3.0,3.0,Karachi,35000000.0
Flat,5.68595041322314,3.0,3.0,Karachi,20000000.0
Upper Portion,4.661157024793388,3.0,3.0,Karachi,13200000.0
Flat,6.049586776859504,2.0,4.0,Karachi,45000000.0
House,16.52892561983471,5.0,6.0,Karachi,200000000.0
House,16.52892561983471,6.0,7.0,Karachi,180000000.0
Upper Portion,4.231404958677686,4.0,5.0,Karachi,16500000.0
Flat,5.884297520661157,3.0,3.0,Karachi,19000000.0
House,3.9669421487603307,2.0,3.0,Karachi,10000000.0
House,3.9669421487603307,4.0,5.0,Karachi,61000000.0
House,16.52892561983471,5.0,6.0,Karachi,105000000.0
House,14.115702479338843,5.0,5.0,Karachi,98000000.0
House,3.9669421487603307,4.0,6.0,Karachi,21800000.0
House,33.05785123966942,6.0,6.0,Karachi,284900000.0
House,8.991735537190083,5.0,5.0,Karachi,32500000.0
Flat,6.082644628099174,3.0,3.0,Karachi,9800000.0
